Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,BBL Esports,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,pick,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,BBL Esports,pick,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,BBL Esports,ban,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,All Gamers,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,pick,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,All Gamers,pick,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,All Gamers,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,G2 Esports,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,G2 Esports,pick,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,pick,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,G2 Esports,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Mega Minors,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Mega Minors,pick,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,pick,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Mega Minors,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,BBL Esports,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,G2 Esports,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,BBL Esports,pick,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,G2 Esports,pick,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,BBL Esports,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,G2 Esports,ban,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Gamers,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Gamers,pick,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Paper Rex,pick,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Gamers,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Paper Rex,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Nongshim RedForce,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Mega Minors,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Nongshim RedForce,pick,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Mega Minors,pick,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Nongshim RedForce,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Mega Minors,ban,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,G2 Esports,ban,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Paper Rex,pick,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,G2 Esports,pick,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Paper Rex,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,G2 Esports,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Mega Minors,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Mega Minors,pick,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Paper Rex,pick,Split
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Mega Minors,pick,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Paper Rex,pick,Breeze
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,pick,Corrode
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Paper Rex,pick,Split
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,pick,Abyss
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Paper Rex,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Evil Geniuses,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Evil Geniuses,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Evil Geniuses,ban,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Cloud9,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,ban,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Cloud9,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,KRÜ Esports,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,FURIA,ban,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,KRÜ Esports,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,FURIA,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,KRÜ Esports,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,FURIA,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,LEVIATÁN,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,100 Thieves,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,LEVIATÁN,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,100 Thieves,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,LEVIATÁN,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,100 Thieves,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Mega Minors,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Cloud9,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Mega Minors,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Cloud9,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Mega Minors,ban,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,ENVY,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,MIBR,ban,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,ENVY,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,MIBR,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,ENVY,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,MIBR,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Sentinels,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,FURIA,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Sentinels,pick,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,FURIA,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Sentinels,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,FURIA,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,100 Thieves,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,G2 Esports,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,100 Thieves,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,G2 Esports,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,100 Thieves,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,G2 Esports,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,LOUD,ban,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,100 Thieves,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,LOUD,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,100 Thieves,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,LOUD,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,100 Thieves,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Evil Geniuses,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Sentinels,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Evil Geniuses,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Sentinels,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Evil Geniuses,ban,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Sentinels,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,ENVY,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,KRÜ Esports,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,ENVY,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,KRÜ Esports,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,ENVY,ban,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,KRÜ Esports,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Cloud9,pick,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Cloud9,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,100 Thieves,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Sentinels,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,100 Thieves,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Sentinels,pick,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,100 Thieves,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Sentinels,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,ENVY,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Cloud9,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,ENVY,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Cloud9,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,ENVY,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,MIBR,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Mega Minors,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,MIBR,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Mega Minors,pick,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,MIBR,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Mega Minors,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,FURIA,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,G2 Esports,ban,Breeze
