Tournament,Stage,Match Type,Match Name,Map
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Split
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Abyss
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,Bind
