Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Split,ULF Esports,d3mur,waylay,5,,1,,1,,,,,56,2,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Split,ULF Esports,audaz,omen,1,1,,,1,,,,,67,0,1
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Split,ULF Esports,Favian,breach,2,1,,,,,,,,62,7,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,cNed,waylay,1,1,,,,,,,,39,0,1
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,al0rante,brimstone,2,2,,,,,,,,57,1,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,qpert,omen,,1,,,,,,,,35,3,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,seven,kayo,1,1,1,,,,,1,,52,2,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,NINJA,tejo,3,3,,,1,,,,,64,1,1
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,ULF Esports,sturNN,breach,3,,,,,,,,,37,9,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,ULF Esports,nekky,sova,4,1,,,,1,,,,50,0,1
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,ULF Esports,d3mur,jett,5,1,,,,,,,,61,0,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,ULF Esports,audaz,astra,3,2,,,1,,,,,63,2,0
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,ULF Esports,Favian,waylay,6,1,,,2,,,,,53,0,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,Natus Vincere,Shao,"astra, brimstone, omen",1,,,,,,,,,23,3,2
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,Natus Vincere,Filu,"neon, raze",9,5,1,,1,,,,,59,5,2
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,Natus Vincere,sociablEE,"skye, yoru",12,3,,,,,,,,44,9,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,Natus Vincere,Ruxic,"chamber, viper",15,1,,,,,,,,54,3,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,Natus Vincere,hiro,"sova, tejo, viper",7,10,,,3,1,,,,71,5,2
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,FNATIC,crashies,"fade, sova",11,1,,,,2,,,,40,15,4
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,FNATIC,Boaster,"astra, brimstone",9,,,,,,,,,31,4,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,FNATIC,kaajak,yoru,11,3,,,1,,,,,44,3,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,FNATIC,Alfajer,"raze, viper",12,1,1,,1,,,,,52,2,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,All Maps,FNATIC,Veqaj,"jett, viper",13,2,,,,1,,,,48,2,3
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,Shao,omen,,,,,,,,,,15,0,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,Filu,raze,2,1,,,1,,,,,51,3,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,sociablEE,skye,4,1,,,,,,,,60,3,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,Ruxic,chamber,5,1,,,,,,,,76,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,hiro,viper,3,2,,,1,,,,,62,0,0
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,FNATIC,crashies,fade,5,,,,,1,,,,41,5,1
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,FNATIC,Boaster,astra,3,,,,,,,,,22,0,0
