Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,Paper Rex,Jinggg,"omen, phoenix",7,3,1,,,,,,,69,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,Paper Rex,invy,"fade, sova",8,1,,,,,,,,52,9,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,Paper Rex,f0rsakeN,"omen, viper, yoru",9,5,1,,,,1,,,61,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,Paper Rex,d4v41,"chamber, viper, vyse",11,3,,,,1,,,,62,0,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,Paper Rex,something,"jett, waylay, yoru",7,2,1,1,1,,,,,62,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,G2 Esports,BABYBAY,"chamber, yoru",9,,,,,,,,,33,3,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,G2 Esports,valyn,astra,6,1,,,,1,,,,37,5,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,G2 Esports,jawgemo,"neon, phoenix",7,4,2,,1,1,,,,59,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,G2 Esports,leaf,"viper, vyse, yoru",7,5,,,,1,,,,44,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,All Maps,G2 Esports,trent,"fade, sova",9,,,,1,,,,,55,8,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,Jinggg,phoenix,3,1,,,,,,,,67,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,invy,fade,2,,,,,,,,,49,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,f0rsakeN,omen,2,2,,,,,1,,,59,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,d4v41,chamber,6,1,,,,1,,,,69,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,something,yoru,1,,1,,1,,,,,44,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,G2 Esports,BABYBAY,chamber,3,,,,,,,,,39,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,G2 Esports,valyn,astra,3,1,,,,1,,,,40,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,G2 Esports,jawgemo,phoenix,3,3,1,,,1,,,,69,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,G2 Esports,leaf,yoru,2,3,,,,,,,,51,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,G2 Esports,trent,fade,3,,,,1,,,,,53,5,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,Jinggg,omen,2,,1,,,,,,,39,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,invy,sova,4,,,,,,,,,68,4,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,f0rsakeN,yoru,4,3,,,,,,,,58,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,d4v41,viper,,1,,,,,,,,38,0,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,something,jett,4,1,,,,,,,,70,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,G2 Esports,BABYBAY,yoru,3,,,,,,,,,23,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,G2 Esports,valyn,astra,2,,,,,,,,,44,4,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,G2 Esports,jawgemo,neon,1,,1,,,,,,,65,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,G2 Esports,leaf,viper,3,1,,,,,,,,41,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,G2 Esports,trent,sova,4,,,,,,,,,68,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,Jinggg,omen,2,2,,,,,,,,102,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,invy,fade,2,1,,,,,,,,38,3,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,f0rsakeN,viper,3,,1,,,,,,,67,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,d4v41,vyse,5,1,,,,,,,,79,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,something,waylay,2,1,,1,,,,,,72,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,G2 Esports,BABYBAY,yoru,3,,,,,,,,,37,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,G2 Esports,valyn,astra,1,,,,,,,,,26,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,G2 Esports,jawgemo,neon,3,1,,,1,,,,,44,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,G2 Esports,leaf,vyse,2,1,,,,1,,,,41,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,G2 Esports,trent,fade,2,,,,,,,,,43,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Mega Minors,brawk,"sova, vyse",7,3,,,,1,,,,44,6,2
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Mega Minors,mada,"neon, waylay, yoru",12,4,,,1,,,,,57,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Mega Minors,skuba,"astra, viper",17,2,1,,1,1,,,,61,7,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Mega Minors,Ethan,"omen, skye, tejo",6,2,2,,,,,,,49,8,4
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Mega Minors,keiko,"jett, killjoy, omen",11,3,1,,1,,,,,45,5,2
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Paper Rex,Jinggg,"neon, omen, raze",16,2,,,,,,,,54,1,2
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Paper Rex,invy,"fade, sova",9,7,2,,1,,,,,60,19,3
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Paper Rex,f0rsakeN,"astra, omen, viper, yoru",12,4,,,1,,,,,49,5,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Paper Rex,d4v41,"viper, vyse",11,6,1,,,1,,,,59,7,3
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,All Maps,Paper Rex,something,"jett, waylay, yoru",7,4,1,,1,1,,,,54,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,brawk,sova,1,1,,,,,,,,43,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,mada,waylay,4,2,,,,,,,,67,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,skuba,astra,5,,,,,1,,,,41,3,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,Ethan,tejo,3,1,,,,,,,,60,2,4
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,keiko,killjoy,5,2,1,,1,,,,,63,3,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Paper Rex,Jinggg,neon,3,,,,,,,,,33,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Paper Rex,invy,sova,5,2,,,1,,,,,71,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Paper Rex,f0rsakeN,astra,1,3,,,,,,,,55,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Paper Rex,d4v41,vyse,,1,1,,,,,,,43,3,2
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Paper Rex,something,yoru,1,1,,,1,,,,,57,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,brawk,vyse,3,,,,,1,,,,38,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,mada,neon,4,,,,,,,,,52,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,skuba,viper,6,,,,,,,,,54,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,Ethan,skye,1,1,,,,,,,,35,3,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,keiko,omen,3,,,,,,,,,36,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Paper Rex,Jinggg,raze,3,1,,,,,,,,65,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Paper Rex,invy,fade,,2,1,,,,,,,52,6,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Paper Rex,f0rsakeN,omen,2,,,,,,,,,33,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Paper Rex,d4v41,viper,5,,,,,1,,,,72,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Paper Rex,something,yoru,3,2,1,,,,,,,76,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,brawk,sova,1,1,,,,,,,,39,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,mada,waylay,2,1,,,,,,,,54,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,skuba,viper,5,1,,,1,,,,,77,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,Ethan,skye,1,,,,,,,,,32,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,keiko,omen,,1,,,,,,,,45,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Paper Rex,Jinggg,omen,6,,,,,,,,,55,0,2
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Paper Rex,invy,fade,2,1,1,,,,,,,67,4,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Paper Rex,f0rsakeN,viper,5,,,,,,,,,59,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Paper Rex,d4v41,vyse,2,3,,,,,,,,59,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Paper Rex,something,waylay,2,1,,,,,,,,51,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,brawk,sova,2,1,,,,,,,,55,4,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,mada,yoru,2,1,,,1,,,,,56,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,skuba,viper,1,1,1,,,,,,,71,2,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,Ethan,omen,1,,2,,,,,,,68,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,keiko,jett,3,,,,,,,,,36,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Paper Rex,Jinggg,omen,4,1,,,,,,,,63,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Paper Rex,invy,sova,2,2,,,,,,,,49,7,1
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Paper Rex,f0rsakeN,yoru,4,1,,,1,,,,,50,0,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Paper Rex,d4v41,viper,4,2,,,,,,,,62,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Paper Rex,something,jett,1,,,,,1,,,,32,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Nongshim RedForce,Rb,omen,10,1,,,,,,,,44,9,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Nongshim RedForce,Dambi,"neon, waylay",9,1,2,,,,,,,49,2,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Nongshim RedForce,Francis,yoru,9,3,,,,,,,,61,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Nongshim RedForce,Ivy,"cypher, viper",5,2,1,1,1,1,,,,61,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Nongshim RedForce,Xross,"fade, sova",11,4,1,,2,,,,,95,5,3
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Paper Rex,Jinggg,"omen, raze",9,1,,,1,1,,,,52,2,2
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Paper Rex,invy,"fade, sova",5,2,,,1,,,,,36,6,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Paper Rex,f0rsakeN,"omen, viper, waylay",2,4,,,,,,,,51,3,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Paper Rex,d4v41,"viper, vyse",6,3,2,,,1,,,,55,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,All Maps,Paper Rex,something,"waylay, yoru",6,1,,,,,,,,41,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,Rb,omen,5,1,,,,,,,,46,6,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,Dambi,neon,5,,1,,,,,,,54,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,Francis,yoru,3,,,,,,,,,42,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,Ivy,viper,2,1,,,,1,,,,47,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,Xross,fade,6,1,1,,,,,,,66,1,2
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Paper Rex,Jinggg,omen,7,,,,1,,,,,69,2,2
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Paper Rex,invy,fade,1,2,,,1,,,,,26,2,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Paper Rex,f0rsakeN,viper,,2,,,,,,,,53,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Paper Rex,d4v41,vyse,,2,1,,,1,,,,58,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Paper Rex,something,waylay,4,1,,,,,,,,63,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Rb,omen,4,,,,,,,,,48,3,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Dambi,neon,2,,1,,,,,,,44,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Francis,yoru,1,2,,,,,,,,59,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Ivy,viper,,1,1,1,,,,,,78,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Xross,fade,2,1,,,,,,,,64,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,Jinggg,raze,1,1,,,,1,,,,36,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,invy,fade,3,,,,,,,,,52,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,f0rsakeN,omen,1,2,,,,,,,,76,2,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,d4v41,viper,1,1,,,,,,,,45,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,something,yoru,,,,,,,,,,12,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Rb,omen,1,,,,,,,,,37,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Dambi,waylay,2,1,,,,,,,,50,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Francis,yoru,5,1,,,,,,,,81,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Ivy,cypher,3,,,,1,,,,,58,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Xross,sova,3,2,,,2,,,,,156,4,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,Jinggg,omen,1,,,,,,,,,51,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,invy,sova,1,,,,,,,,,30,4,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,f0rsakeN,waylay,1,,,,,,,,,25,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,d4v41,vyse,5,,1,,,,,,,61,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,something,yoru,2,,,,,,,,,48,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Inspire,"brimstone, viper",11,3,1,,2,,,,,56,3,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Rossy,"omen, viper",9,5,,,1,,,,,53,2,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,keznit,"iso, waylay",8,,,,1,,,,,45,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,P0PPIN,"fade, skye, sova",4,,,,,,,,,35,17,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Eggsterr,yoru,10,6,1,,,,,,,54,2,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,C0M,"fade, sova",4,2,,,,1,,,,47,10,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,supamen,"astra, viper",7,2,,,,,,,,52,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,Okeanos,"breach, yoru",10,4,1,,,,,,,51,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,dgzin,"waylay, yoru",13,1,,,,,,,,48,1,6
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,bao,"brimstone, omen, veto",10,1,1,,,,,,,49,7,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Inspire,viper,4,,1,,,,,,,57,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Rossy,omen,3,2,,,,,,,,55,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,keznit,iso,2,,,,,,,,,40,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,P0PPIN,sova,,,,,,,,,,22,6,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Eggsterr,yoru,1,2,,,,,,,,46,0,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,C0M,sova,2,,,,,,,,,58,3,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,supamen,astra,1,,,,,,,,,32,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,Okeanos,breach,4,1,,,,,,,,47,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,dgzin,yoru,6,1,,,,,,,,57,1,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,bao,veto,4,1,1,,,,,,,67,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Inspire,viper,5,,,,1,,,,,56,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Rossy,omen,4,2,,,1,,,,,53,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,keznit,waylay,2,,,,1,,,,,42,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,P0PPIN,fade,3,,,,,,,,,53,6,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Eggsterr,yoru,5,1,,,,,,,,48,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,C0M,sova,,2,,,,,,,,44,5,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,supamen,viper,3,1,,,,,,,,52,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,Okeanos,yoru,3,2,1,,,,,,,65,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,dgzin,waylay,5,,,,,,,,,52,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,bao,omen,2,,,,,,,,,23,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,Inspire,brimstone,2,3,,,1,,,,,55,2,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,Rossy,viper,2,1,,,,,,,,50,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,keznit,waylay,4,,,,,,,,,54,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,P0PPIN,skye,1,,,,,,,,,31,5,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,Eggsterr,yoru,4,3,1,,,,,,,67,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,Evil Geniuses,C0M,fade,2,,,,,1,,,,38,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,Evil Geniuses,supamen,viper,3,1,,,,,,,,72,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,Evil Geniuses,Okeanos,yoru,3,1,,,,,,,,40,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,Evil Geniuses,dgzin,waylay,2,,,,,,,,,35,0,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,Evil Geniuses,bao,brimstone,4,,,,,,,,,56,4,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,All Maps,LOUD,pANcada,"harbor, omen",5,,,,1,,,,,37,1,1
