Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Abyss,Nova Esports,13,7,6,,Wolves Esports,5,0,5,,54:29
VCT 2026: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Haven,Nova Esports,3,3,0,,Wolves Esports,13,4,9,,34:27
VCT 2026: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Pearl,Nova Esports,11,9,2,,Wolves Esports,13,10,3,,53:49
VCT 2026: China Kickoff,Main Event,Upper Round 3,All Gamers vs Dragon Ranger Gaming,Corrode,All Gamers,7,4,3,,Dragon Ranger Gaming,13,5,8,,1:02:01
VCT 2026: China Kickoff,Main Event,Upper Round 3,All Gamers vs Dragon Ranger Gaming,Bind,All Gamers,15,5,7,3,Dragon Ranger Gaming,13,5,7,1,1:09:45
VCT 2026: China Kickoff,Main Event,Upper Round 3,All Gamers vs Dragon Ranger Gaming,Abyss,All Gamers,13,6,7,,Dragon Ranger Gaming,10,4,6,,54:49
VCT 2026: China Kickoff,Main Event,Lower Round 1,JDG Esports vs FunPlus Phoenix,Pearl,JDG Esports,5,5,0,,FunPlus Phoenix,13,6,7,,55:16
VCT 2026: China Kickoff,Main Event,Lower Round 1,JDG Esports vs FunPlus Phoenix,Bind,JDG Esports,13,10,3,,FunPlus Phoenix,3,1,2,,38:47
VCT 2026: China Kickoff,Main Event,Lower Round 1,JDG Esports vs FunPlus Phoenix,Haven,JDG Esports,13,6,7,,FunPlus Phoenix,7,1,6,,45:30
VCT 2026: China Kickoff,Main Event,Upper Round 3,Xi Lai Gaming vs EDward Gaming,Split,Xi Lai Gaming,13,7,6,,EDward Gaming,5,0,5,,57:25
VCT 2026: China Kickoff,Main Event,Upper Round 3,Xi Lai Gaming vs EDward Gaming,Pearl,Xi Lai Gaming,13,9,4,,EDward Gaming,6,3,3,,45:12
VCT 2026: China Kickoff,Main Event,Lower Round 2,Trace Esports vs Wolves Esports,Abyss,Trace Esports,12,5,7,0,Wolves Esports,14,5,7,2,1:13:12
VCT 2026: China Kickoff,Main Event,Lower Round 2,Trace Esports vs Wolves Esports,Bind,Trace Esports,13,6,7,,Wolves Esports,8,2,6,,49:19
VCT 2026: China Kickoff,Main Event,Lower Round 2,Trace Esports vs Wolves Esports,Split,Trace Esports,13,10,3,,Wolves Esports,6,4,2,,39:36
VCT 2026: China Kickoff,Main Event,Middle Round 3,Dragon Ranger Gaming vs TYLOO,Corrode,Dragon Ranger Gaming,10,8,2,,TYLOO,13,9,4,,1:01:36
VCT 2026: China Kickoff,Main Event,Middle Round 3,Dragon Ranger Gaming vs TYLOO,Split,Dragon Ranger Gaming,13,9,4,,TYLOO,6,3,3,,42:02
VCT 2026: China Kickoff,Main Event,Middle Round 3,Dragon Ranger Gaming vs TYLOO,Pearl,Dragon Ranger Gaming,13,7,6,,TYLOO,6,1,5,,49:08
VCT 2026: China Kickoff,Main Event,Lower Round 2,Titan Esports Club vs JDG Esports,Bind,Titan Esports Club,13,10,3,,JDG Esports,5,3,2,,1:00:15
VCT 2026: China Kickoff,Main Event,Lower Round 2,Titan Esports Club vs JDG Esports,Haven,Titan Esports Club,10,5,5,,JDG Esports,13,6,7,,51:29
VCT 2026: China Kickoff,Main Event,Lower Round 2,Titan Esports Club vs JDG Esports,Split,Titan Esports Club,8,2,6,,JDG Esports,13,3,10,,47:34
VCT 2026: China Kickoff,Main Event,Middle Round 3,EDward Gaming vs Bilibili Gaming,Abyss,EDward Gaming,7,6,1,,Bilibili Gaming,13,7,6,,1:02:55
VCT 2026: China Kickoff,Main Event,Middle Round 3,EDward Gaming vs Bilibili Gaming,Haven,EDward Gaming,13,9,4,,Bilibili Gaming,9,6,3,,43:30
VCT 2026: China Kickoff,Main Event,Middle Round 3,EDward Gaming vs Bilibili Gaming,Breeze,EDward Gaming,5,2,3,,Bilibili Gaming,13,3,10,,43:20
VCT 2026: China Kickoff,Main Event,Lower Round 3,TYLOO vs Trace Esports,Haven,TYLOO,13,9,4,,Trace Esports,7,4,3,,59:05
VCT 2026: China Kickoff,Main Event,Lower Round 3,TYLOO vs Trace Esports,Abyss,TYLOO,14,7,5,2,Trace Esports,12,7,5,0,
VCT 2026: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs JDG Esports,Abyss,EDward Gaming,13,7,6,,JDG Esports,6,1,5,,
VCT 2026: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs JDG Esports,Haven,EDward Gaming,6,3,3,,JDG Esports,13,4,9,,
VCT 2026: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs JDG Esports,Corrode,EDward Gaming,13,9,4,,JDG Esports,5,2,3,,
VCT 2026: China Kickoff,Main Event,Middle Round 4,Dragon Ranger Gaming vs Bilibili Gaming,Split,Dragon Ranger Gaming,6,5,1,,Bilibili Gaming,13,6,7,,58:10
VCT 2026: China Kickoff,Main Event,Middle Round 4,Dragon Ranger Gaming vs Bilibili Gaming,Abyss,Dragon Ranger Gaming,2,2,0,,Bilibili Gaming,13,3,10,,35:43
VCT 2026: China Kickoff,Main Event,Lower Round 4,TYLOO vs EDward Gaming,Bind,TYLOO,13,9,4,,EDward Gaming,3,0,3,,51:51
VCT 2026: China Kickoff,Main Event,Lower Round 4,TYLOO vs EDward Gaming,Haven,TYLOO,9,8,1,,EDward Gaming,13,9,4,,52:59
VCT 2026: China Kickoff,Main Event,Lower Round 4,TYLOO vs EDward Gaming,Corrode,TYLOO,7,4,3,,EDward Gaming,13,5,8,,42:14
VCT 2026: China Kickoff,Main Event,Lower Round 5,Dragon Ranger Gaming vs EDward Gaming,Split,Dragon Ranger Gaming,13,6,7,,EDward Gaming,11,5,6,,1:09:02
VCT 2026: China Kickoff,Main Event,Lower Round 5,Dragon Ranger Gaming vs EDward Gaming,Pearl,Dragon Ranger Gaming,2,1,1,,EDward Gaming,13,2,11,,38:31
VCT 2026: China Kickoff,Main Event,Lower Round 5,Dragon Ranger Gaming vs EDward Gaming,Corrode,Dragon Ranger Gaming,6,4,2,,EDward Gaming,13,5,8,,38:56
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,Pearl,All Gamers,13,11,2,,Xi Lai Gaming,5,4,1,,1:15:59
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,Split,All Gamers,13,4,9,,Xi Lai Gaming,11,3,8,,54:06
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,Bind,All Gamers,7,4,3,,Xi Lai Gaming,13,5,8,,49:25
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,Abyss,All Gamers,6,5,1,,Xi Lai Gaming,13,6,7,,44:30
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,Haven,All Gamers,13,5,8,,Xi Lai Gaming,10,3,7,,52:41
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Abyss,Xi Lai Gaming,14,7,5,2,Bilibili Gaming,16,7,5,4,1:34:23
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Bind,Xi Lai Gaming,13,9,4,,Bilibili Gaming,4,1,3,,38:25
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Breeze,Xi Lai Gaming,12,6,6,0,Bilibili Gaming,14,6,6,2,59:37
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Pearl,Xi Lai Gaming,13,9,4,,Bilibili Gaming,11,8,3,,55:21
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Split,Xi Lai Gaming,13,9,4,,Bilibili Gaming,4,1,3,,38:31
VCT 2026: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Pearl,Bilibili Gaming,13,6,7,,EDward Gaming,9,3,6,,1:15:10
VCT 2026: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Haven,Bilibili Gaming,10,6,4,,EDward Gaming,13,7,6,,46:22
VCT 2026: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Abyss,Bilibili Gaming,10,6,4,,EDward Gaming,13,7,6,,51:47
VCT 2026: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Split,Bilibili Gaming,6,5,1,,EDward Gaming,13,6,7,,36:17
