Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Abyss,KRÜ Esports,5,4,1,,FURIA,13,5,8,,34:42
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Bind,100 Thieves,13,9,4,,LEVIATÁN,9,6,3,,1:02:51
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Pearl,100 Thieves,10,7,3,,LEVIATÁN,13,8,5,,58:37
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,Split,100 Thieves,13,6,7,,LEVIATÁN,9,3,6,,52:14
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Pearl,Mega Minors,13,10,3,,Cloud9,2,0,2,,45:03
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Breeze,Mega Minors,13,10,3,,Cloud9,9,7,2,,44:54
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,Abyss,MIBR,13,9,4,,ENVY,7,4,3,,49:31
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,Corrode,MIBR,13,10,3,,ENVY,11,9,2,,50:33
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Split,Sentinels,5,3,2,,FURIA,13,4,9,,48:35
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Breeze,Sentinels,11,5,6,,FURIA,13,6,7,,57:51
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Bind,G2 Esports,13,8,5,,100 Thieves,11,7,4,,1:06:42
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Corrode,G2 Esports,3,1,2,,100 Thieves,13,2,11,,33:43
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Split,G2 Esports,13,10,3,,100 Thieves,8,6,2,,48:39
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Breeze,LOUD,13,7,6,,100 Thieves,11,6,5,,1:04:38
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Bind,LOUD,6,3,3,,100 Thieves,13,4,9,,45:31
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Pearl,LOUD,2,2,0,,100 Thieves,13,3,10,,37:22
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Abyss,Evil Geniuses,8,3,5,,Sentinels,13,4,9,,51:04
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Pearl,Evil Geniuses,11,7,4,,Sentinels,13,8,5,,1:04:50
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Abyss,KRÜ Esports,13,8,5,,ENVY,9,5,4,,53:37
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Pearl,KRÜ Esports,5,1,4,,ENVY,13,2,11,,38:33
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Breeze,KRÜ Esports,9,7,2,,ENVY,13,8,5,,44:45
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Pearl,LEVIATÁN,3,2,1,,Cloud9,13,3,10,,39:48
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Split,LEVIATÁN,8,5,3,,Cloud9,13,6,7,,50:12
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Corrode,100 Thieves,13,5,8,,Sentinels,11,4,7,,1:02:13
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Split,100 Thieves,16,8,4,4,Sentinels,14,8,4,2,1:20:18
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Pearl,ENVY,18,7,5,6,Cloud9,20,7,5,8,1:23:03
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Breeze,ENVY,13,7,6,,Cloud9,8,3,5,,1:13:34
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Split,ENVY,11,7,4,,Cloud9,13,8,5,,50:13
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Abyss,Mega Minors,13,11,2,,MIBR,6,5,1,,1:10:21
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Split,Mega Minors,11,7,4,,MIBR,13,8,5,,1:11:35
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Breeze,Mega Minors,8,3,5,,MIBR,13,4,9,,49:05
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Abyss,FURIA,13,8,5,,G2 Esports,7,3,4,,1:06:46
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Bind,FURIA,6,5,1,,G2 Esports,13,6,7,,44:54
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,Split,FURIA,13,9,4,,G2 Esports,3,0,3,,35:10
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Haven,LOUD,5,3,2,,Evil Geniuses,13,4,9,,51:14
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Abyss,LOUD,12,7,5,0,Evil Geniuses,14,7,5,2,1:21:33
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,Bind,KRÜ Esports,4,3,1,,LEVIATÁN,13,4,9,,46:08
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,Split,KRÜ Esports,10,5,5,,LEVIATÁN,13,6,7,,57:56
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Haven,Mega Minors,13,7,6,,100 Thieves,9,4,5,,1:01:37
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Corrode,Mega Minors,13,6,7,,100 Thieves,11,5,6,,57:18
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Corrode,G2 Esports,13,5,8,,Cloud9,11,4,7,,52:17
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Bind,G2 Esports,13,6,7,,Cloud9,9,3,6,,45:31
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Pearl,ENVY,14,4,8,2,Evil Geniuses,16,4,8,4,1:14:37
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Corrode,ENVY,5,4,1,,Evil Geniuses,13,5,8,,38:26
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Corrode,Sentinels,10,5,5,,LEVIATÁN,13,6,7,,57:33
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Bind,Sentinels,12,4,8,0,LEVIATÁN,14,4,8,2,57:25
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Haven,100 Thieves,13,10,3,,Evil Geniuses,11,9,2,,57:04
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Bind,100 Thieves,15,7,5,3,Evil Geniuses,13,7,5,1,1:07:08
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Bind,Cloud9,13,9,4,,LEVIATÁN,5,2,3,,43:35
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Breeze,Cloud9,13,7,6,,LEVIATÁN,7,2,5,,44:31
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Pearl,Mega Minors,3,2,1,,G2 Esports,13,3,10,,36:27
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Split,Mega Minors,8,5,3,,G2 Esports,13,6,7,,42:10
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Pearl,100 Thieves,14,6,6,2,Cloud9,12,6,6,0,1:11:57
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Split,100 Thieves,11,6,5,,Cloud9,13,7,6,,55:19
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Abyss,100 Thieves,13,10,3,,Cloud9,2,0,2,,33:27
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Bind,MIBR,13,5,8,,FURIA,8,1,7,,1:02:19
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Abyss,MIBR,8,2,6,,FURIA,13,3,10,,51:40
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Haven,MIBR,11,6,5,,FURIA,13,7,6,,1:03:54
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Breeze,MIBR,13,12,1,,FURIA,2,2,0,,31:58
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,Split,MIBR,8,6,2,,FURIA,13,7,6,,1:00:48
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Pearl,Mega Minors,13,9,4,,100 Thieves,3,0,3,,50:13
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Abyss,Mega Minors,13,7,6,,100 Thieves,8,3,5,,50:26
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Breeze,MIBR,6,5,1,,G2 Esports,13,6,7,,52:20
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Haven,MIBR,4,4,0,,G2 Esports,13,5,8,,40:55
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Corrode,MIBR,7,3,4,,G2 Esports,13,4,9,,43:49
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Bind,MIBR,13,6,7,,Mega Minors,9,3,6,,1:03:44
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Corrode,MIBR,13,8,5,,Mega Minors,5,1,4,,40:25
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Split,MIBR,10,9,1,,Mega Minors,13,10,3,,52:45
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Abyss,MIBR,4,3,1,,Mega Minors,13,4,9,,31:57
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Haven,MIBR,5,1,4,,Mega Minors,13,2,11,,43:01
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Split,Natus Vincere,13,7,6,,Karmine Corp,11,6,5,,1:01:27
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Haven,Natus Vincere,13,10,3,,Karmine Corp,7,5,2,,45:01
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Abyss,FUT Esports,8,5,3,,Gentle Mates,13,6,7,,45:40
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Split,FUT Esports,6,4,2,,Gentle Mates,13,5,8,,39:09
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Breeze,PCIFIC Esports,10,3,7,,BBL Esports,13,4,9,,55:42
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Abyss,PCIFIC Esports,13,7,6,,BBL Esports,7,2,5,,46:52
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Pearl,PCIFIC Esports,4,2,2,,BBL Esports,13,3,10,,40:09
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Breeze,ULF Esports,3,2,1,,Team Vitality,13,3,10,,32:38
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Corrode,ULF Esports,1,1,0,,Team Vitality,13,2,11,,27:22
