Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,leaf,3,2,1,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,valyn,3,3,0,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Au1,G2 Esports,trent,2,3,-1,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,BABYBAY,3,2,1,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,jawgemo,5,3,2,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,leaf,3,3,0,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,valyn,1,4,-3,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,iamgrq,G2 Esports,trent,1,2,-1,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,BABYBAY,1,4,-3,All Kills
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,Shr1mp,G2 Esports,jawgemo,0,3,-3,All Kills
