Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,KRÜ Esports vs ENVY,596411,Pearl,244817
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,KRÜ Esports vs ENVY,596411,Breeze,244818
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,LEVIATÁN vs Cloud9,596412,Pearl,244819
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,LEVIATÁN vs Cloud9,596412,Split,244820
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 2,100 Thieves vs Sentinels,596413,Corrode,244822
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 2,100 Thieves vs Sentinels,596413,Split,244823
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 2,ENVY vs Cloud9,596414,Pearl,244825
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 2,ENVY vs Cloud9,596414,Breeze,244826
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 2,ENVY vs Cloud9,596414,Split,244827
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,NRG vs MIBR,596406,Abyss,244799
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,NRG vs MIBR,596406,Split,244800
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,NRG vs MIBR,596406,Breeze,244801
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,FURIA vs G2 Esports,596407,Abyss,244802
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,FURIA vs G2 Esports,596407,Bind,244803
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 3,FURIA vs G2 Esports,596407,Split,244804
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 1,LOUD vs Evil Geniuses,596419,Haven,244842
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 1,LOUD vs Evil Geniuses,596419,Abyss,244843
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 1,KRÜ Esports vs LEVIATÁN,596420,Bind,244845
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 1,KRÜ Esports vs LEVIATÁN,596420,Split,244846
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 3,NRG vs 100 Thieves,596415,Haven,244828
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 3,NRG vs 100 Thieves,596415,Corrode,244829
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 3,G2 Esports vs Cloud9,596416,Corrode,244831
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 3,G2 Esports vs Cloud9,596416,Bind,244832
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 2,ENVY vs Evil Geniuses,596421,Pearl,244848
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 2,ENVY vs Evil Geniuses,596421,Corrode,244849
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 2,Sentinels vs LEVIATÁN,596422,Corrode,244851
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 2,Sentinels vs LEVIATÁN,596422,Bind,244852
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 3,100 Thieves vs Evil Geniuses,596423,Haven,244854
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 3,100 Thieves vs Evil Geniuses,596423,Bind,244855
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 3,Cloud9 vs LEVIATÁN,596424,Bind,244857
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 3,Cloud9 vs LEVIATÁN,596424,Breeze,244858
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 4,NRG vs G2 Esports,596417,Pearl,244834
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 4,NRG vs G2 Esports,596417,Split,244835
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 4,100 Thieves vs Cloud9,596425,Pearl,244860
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 4,100 Thieves vs Cloud9,596425,Split,244861
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 4,100 Thieves vs Cloud9,596425,Abyss,244862
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Final,MIBR vs FURIA,596408,Bind,244805
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Final,MIBR vs FURIA,596408,Abyss,244806
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Final,MIBR vs FURIA,596408,Haven,244807
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Final,MIBR vs FURIA,596408,Breeze,244808
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Final,MIBR vs FURIA,596408,Split,244809
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 5,NRG vs 100 Thieves,596426,Pearl,244863
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Round 5,NRG vs 100 Thieves,596426,Abyss,244864
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Final,MIBR vs G2 Esports,596418,Breeze,244837
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Final,MIBR vs G2 Esports,596418,Haven,244838
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Final,MIBR vs G2 Esports,596418,Corrode,244839
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Final,MIBR vs NRG,596427,Bind,244866
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Final,MIBR vs NRG,596427,Corrode,244867
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Final,MIBR vs NRG,596427,Split,244868
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Final,MIBR vs NRG,596427,Abyss,244869
VCT 2026: Americas Kickoff,2682,Main Event,0,Lower Final,MIBR vs NRG,596427,Haven,244870
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,Natus Vincere vs Karmine Corp,594740,Split,244304
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,Natus Vincere vs Karmine Corp,594740,Haven,244305
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,FUT Esports vs Gentle Mates,594741,Abyss,244307
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,FUT Esports vs Gentle Mates,594741,Split,244308
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,PCIFIC Esports vs BBL Esports,594742,Breeze,244310
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,PCIFIC Esports vs BBL Esports,594742,Abyss,244311
VCT 2026: EMEA Kickoff,2684,Main Event,0,Upper Round 1,PCIFIC Esports vs BBL Esports,594742,Pearl,244312
