Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Nongshim RedForce,neon,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Nongshim RedForce,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Nongshim RedForce,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Nongshim RedForce,killjoy,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Rex Regum Qeon,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Rex Regum Qeon,neon,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Rex Regum Qeon,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Rex Regum Qeon,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,Rex Regum Qeon,killjoy,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Nongshim RedForce,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Nongshim RedForce,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Nongshim RedForce,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Nongshim RedForce,astra,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Nongshim RedForce,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Rex Regum Qeon,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Rex Regum Qeon,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Rex Regum Qeon,astra,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Rex Regum Qeon,brimstone,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,Rex Regum Qeon,waylay,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Nongshim RedForce,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Nongshim RedForce,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Nongshim RedForce,neon,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Nongshim RedForce,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Nongshim RedForce,astra,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Rex Regum Qeon,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Rex Regum Qeon,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Rex Regum Qeon,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Rex Regum Qeon,astra,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,Rex Regum Qeon,jett,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,VARREL,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,VARREL,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,VARREL,raze,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,VARREL,skye,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,VARREL,chamber,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DRX,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DRX,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DRX,raze,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DRX,skye,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,DRX,tejo,1,0,1
