Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,Titan Esports Club,skye,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,Titan Esports Club,chamber,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,JDG Esports,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,JDG Esports,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,JDG Esports,brimstone,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,JDG Esports,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Bind,JDG Esports,raze,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Trace Esports,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Trace Esports,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Trace Esports,waylay,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Trace Esports,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Trace Esports,skye,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Wolves Esports,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Wolves Esports,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Wolves Esports,skye,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Wolves Esports,raze,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Wolves Esports,chamber,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Titan Esports Club,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Titan Esports Club,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Titan Esports Club,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Titan Esports Club,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,Titan Esports Club,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,JDG Esports,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,JDG Esports,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,JDG Esports,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,JDG Esports,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Split,JDG Esports,raze,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,Titan Esports Club,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,Titan Esports Club,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,Titan Esports Club,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,Titan Esports Club,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,Titan Esports Club,killjoy,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,JDG Esports,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,JDG Esports,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,JDG Esports,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,JDG Esports,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 2,Haven,JDG Esports,cypher,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,EDward Gaming,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,EDward Gaming,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,EDward Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,EDward Gaming,cypher,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,EDward Gaming,iso,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,JDG Esports,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,JDG Esports,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,JDG Esports,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,JDG Esports,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,JDG Esports,cypher,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,TYLOO,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,TYLOO,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,TYLOO,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,TYLOO,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,TYLOO,killjoy,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,Trace Esports,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,Trace Esports,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,Trace Esports,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,Trace Esports,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Haven,Trace Esports,killjoy,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,EDward Gaming,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,EDward Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,EDward Gaming,jett,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,JDG Esports,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,JDG Esports,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,JDG Esports,astra,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,JDG Esports,waylay,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,JDG Esports,cypher,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,TYLOO,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,TYLOO,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,TYLOO,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,TYLOO,waylay,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,TYLOO,veto,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,Trace Esports,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,Trace Esports,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,Trace Esports,astra,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,Trace Esports,waylay,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Abyss,Trace Esports,breach,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,EDward Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,EDward Gaming,sage,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,EDward Gaming,phoenix,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,JDG Esports,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,JDG Esports,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,JDG Esports,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,JDG Esports,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 3,Corrode,JDG Esports,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,TYLOO,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,TYLOO,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,TYLOO,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,TYLOO,raze,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,TYLOO,brimstone,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,EDward Gaming,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,EDward Gaming,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,EDward Gaming,raze,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,EDward Gaming,phoenix,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Bind,EDward Gaming,harbor,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,TYLOO,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,TYLOO,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,TYLOO,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,TYLOO,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,TYLOO,killjoy,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,EDward Gaming,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,EDward Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,EDward Gaming,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,EDward Gaming,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Haven,EDward Gaming,chamber,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,TYLOO,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,TYLOO,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,TYLOO,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,TYLOO,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,TYLOO,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,EDward Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,EDward Gaming,phoenix,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,EDward Gaming,sage,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 4,Corrode,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,Dragon Ranger Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,Dragon Ranger Gaming,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,Dragon Ranger Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,Dragon Ranger Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,Dragon Ranger Gaming,cypher,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,EDward Gaming,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,EDward Gaming,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,EDward Gaming,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,EDward Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Split,EDward Gaming,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,Dragon Ranger Gaming,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,Dragon Ranger Gaming,astra,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,Dragon Ranger Gaming,phoenix,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,Dragon Ranger Gaming,vyse,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,Dragon Ranger Gaming,tejo,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,EDward Gaming,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,EDward Gaming,killjoy,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Pearl,EDward Gaming,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,Dragon Ranger Gaming,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,Dragon Ranger Gaming,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,Dragon Ranger Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,Dragon Ranger Gaming,cypher,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,Dragon Ranger Gaming,gekko,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,EDward Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,EDward Gaming,phoenix,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Round 5,Corrode,EDward Gaming,sage,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,Bilibili Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,Bilibili Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,Bilibili Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,Bilibili Gaming,killjoy,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,Bilibili Gaming,tejo,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,EDward Gaming,astra,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,EDward Gaming,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,EDward Gaming,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,EDward Gaming,yoru,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Pearl,EDward Gaming,killjoy,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,Bilibili Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,Bilibili Gaming,neon,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,Bilibili Gaming,sova,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,Bilibili Gaming,breach,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,Bilibili Gaming,cypher,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,EDward Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,EDward Gaming,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,EDward Gaming,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,EDward Gaming,viper,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Haven,EDward Gaming,chamber,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,Bilibili Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,Bilibili Gaming,astra,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,Bilibili Gaming,breach,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,Bilibili Gaming,waylay,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,Bilibili Gaming,tejo,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,EDward Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,EDward Gaming,astra,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,EDward Gaming,sova,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Abyss,EDward Gaming,jett,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,Bilibili Gaming,omen,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,Bilibili Gaming,fade,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,Bilibili Gaming,viper,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,Bilibili Gaming,breach,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,Bilibili Gaming,waylay,0,1,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,EDward Gaming,omen,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,EDward Gaming,neon,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,EDward Gaming,yoru,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,EDward Gaming,fade,1,0,1
VCT 2026: China Kickoff,Main Event,Lower Final,Split,EDward Gaming,viper,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Bilibili Gaming,omen,1,3,4
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Bilibili Gaming,viper,1,3,4
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Bilibili Gaming,waylay,1,3,4
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Bilibili Gaming,fade,1,3,4
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Bilibili Gaming,breach,1,3,4
VCT 2026: China Kickoff,All Stages,All Match Types,Split,EDward Gaming,yoru,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,EDward Gaming,omen,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,EDward Gaming,viper,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,EDward Gaming,neon,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,EDward Gaming,fade,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,JDG Esports,yoru,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,JDG Esports,omen,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,JDG Esports,viper,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,JDG Esports,fade,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,JDG Esports,raze,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,TYLOO,yoru,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,TYLOO,omen,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,TYLOO,viper,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,TYLOO,waylay,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,TYLOO,fade,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Wolves Esports,omen,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Wolves Esports,viper,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Wolves Esports,raze,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Wolves Esports,skye,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Wolves Esports,chamber,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Dragon Ranger Gaming,yoru,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Dragon Ranger Gaming,omen,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Dragon Ranger Gaming,neon,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Dragon Ranger Gaming,fade,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Dragon Ranger Gaming,cypher,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Xi Lai Gaming,yoru,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Xi Lai Gaming,omen,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Xi Lai Gaming,viper,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Xi Lai Gaming,waylay,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Xi Lai Gaming,fade,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Trace Esports,omen,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Trace Esports,viper,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Trace Esports,waylay,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Trace Esports,neon,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Trace Esports,skye,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,All Gamers,omen,3,0,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,All Gamers,viper,3,0,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,All Gamers,waylay,3,0,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,All Gamers,raze,3,0,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,All Gamers,skye,3,0,3
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Titan Esports Club,yoru,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Titan Esports Club,omen,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Titan Esports Club,viper,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Titan Esports Club,neon,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Titan Esports Club,fade,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Nova Esports,omen,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Nova Esports,viper,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Nova Esports,waylay,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Nova Esports,raze,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Split,Nova Esports,skye,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Bilibili Gaming,yoru,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Bilibili Gaming,astra,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Bilibili Gaming,fade,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Bilibili Gaming,killjoy,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Bilibili Gaming,tejo,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,EDward Gaming,yoru,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,EDward Gaming,sova,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,EDward Gaming,astra,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,EDward Gaming,neon,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,EDward Gaming,killjoy,1,2,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,JDG Esports,yoru,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,JDG Esports,sova,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,JDG Esports,astra,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,JDG Esports,neon,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,JDG Esports,killjoy,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,TYLOO,yoru,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,TYLOO,sova,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,TYLOO,astra,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,TYLOO,neon,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,TYLOO,killjoy,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Wolves Esports,yoru,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Wolves Esports,astra,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Wolves Esports,fade,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Wolves Esports,killjoy,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Wolves Esports,tejo,1,0,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Dragon Ranger Gaming,astra,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Dragon Ranger Gaming,neon,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Dragon Ranger Gaming,tejo,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Dragon Ranger Gaming,phoenix,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Dragon Ranger Gaming,vyse,1,1,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Xi Lai Gaming,yoru,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Xi Lai Gaming,astra,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Xi Lai Gaming,waylay,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Xi Lai Gaming,fade,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Xi Lai Gaming,killjoy,2,1,3
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Trace Esports,sova,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Trace Esports,astra,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Trace Esports,neon,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Trace Esports,tejo,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Trace Esports,chamber,0,1,1
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,All Gamers,yoru,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,All Gamers,astra,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,All Gamers,waylay,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,All Gamers,fade,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,All Gamers,killjoy,2,0,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Nova Esports,astra,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Nova Esports,neon,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Nova Esports,fade,0,2,2
VCT 2026: China Kickoff,All Stages,All Match Types,Pearl,Nova Esports,killjoy,0,2,2
